,sub_id,age,condition,1.11Hz,1.67Hz,3.3Hz
135,me2_220_7m,11mo,triple,1.969689568607916e-25,6.433635296674766e-26,1.9202742365708506e-25
136,me2_203_7m,11mo,triple,3.009958457852443e-25,8.240721747537273e-26,1.702650117192698e-25
137,me2_207_7m,11mo,triple,1.3902670891237046e-25,9.968296772164844e-26,2.8121690464391087e-25
138,me2_205_7m,11mo,triple,1.3731204432603337e-25,6.228141976563764e-26,2.54749228377976e-25
139,me2_215_7m,11mo,triple,1.1441293149538817e-25,3.5560257521938567e-26,1.9580103005154678e-25
140,me2_217_7m,11mo,triple,1.8673078129408215e-25,1.1941644359018626e-25,9.33945857351982e-26
141,me2_104_7m,11mo,triple,1.4472969316640694e-25,2.232099455406555e-25,9.021700586796671e-25
142,me2_120_7m,11mo,triple,9.332313916071335e-26,1.0225715112563974e-25,1.749445686321807e-25
143,me2_106_7m,11mo,triple,1.510943569169093e-25,1.1545178443983428e-25,1.0843453908572348e-25
144,me2_216_7m,11mo,triple,2.5472850340011302e-25,5.554145819411476e-26,5.726018678185028e-26
145,me2_114_7m,11mo,triple,1.456072646099311e-25,3.646874411999032e-26,2.478189043338611e-25
146,me2_211_7m,11mo,triple,1.8148692991667657e-25,5.391747600087859e-26,3.1088223753810753e-25
147,me2_116_7m,11mo,triple,2.3129149850803795e-25,4.5676952776514727e-26,6.616716732685392e-25
148,me2_113_7m,11mo,triple,2.2432388783091426e-25,1.2535258595207481e-25,5.2853440539321805e-25
149,me2_206_7m,11mo,triple,1.7533647319572646e-25,8.881261564365024e-26,1.7068390009384682e-25
150,me2_127_7m,11mo,triple,1.0190744427304021e-25,8.096238655450357e-26,4.210948401368553e-25
151,me2_218_7m,11mo,triple,1.03729048711006e-25,5.744201794154926e-26,5.021691989976909e-26
152,me2_204_7m,11mo,triple,2.7359114282609147e-25,7.73233876712943e-26,1.7531649626535084e-25
153,me2_101_7m,11mo,triple,1.8504741971529796e-25,6.153171524138208e-26,2.499687807567654e-25
154,me2_111_7m,11mo,triple,1.1812636798634321e-25,3.2765385421198387e-26,1.3777055930496971e-25
155,me2_221_7m,11mo,triple,8.818302310786218e-26,5.0967488117156957e-26,8.710675405308386e-26
156,me2_128_7m,adult,random,4.418006462156144e-26,5.531582418980105e-26,1.5676782229638667e-26
157,me2_209_7m,adult,random,6.787699954032639e-26,3.3450088595646047e-26,2.56751314980837e-26
158,me2_212_7m,adult,random,8.263264051036294e-26,4.3896631755417626e-26,1.6559130562219843e-26
159,me2_117_7m,adult,random,3.508816322198157e-26,3.2347667200673655e-26,1.1358031117162031e-26
160,me2_112_11m,adult,random,1.903007755072322e-25,3.9174367696875033e-26,3.9713044614406565e-26
161,me2_129_11m,adult,random,8.655869983077249e-26,4.55158832064329e-26,2.1115950849954675e-26
162,me2_315_11m,adult,random,6.443864778305514e-26,3.457792575583395e-26,1.4574722176075777e-26
163,me2_325_11m,adult,random,1.43799274868961e-25,6.695164884340316e-26,3.0607162924930976e-26
164,me2_301_11m,adult,random,6.780363335700208e-26,2.8493746998060495e-26,1.9806973961506756e-26
165,me2_304_11m,adult,random,9.267575392538192e-26,5.256493361851966e-26,2.3458492629106404e-26
166,me2_122_11m,adult,random,6.061724819661321e-26,5.050037694635781e-26,7.460905897156148e-26
167,me2_323_11m,adult,random,9.196434267523047e-26,6.964425065851961e-26,3.147934516442254e-26
168,me2_311_11m,adult,random,6.325504818051603e-26,3.3115157201122775e-26,2.532311589284593e-26
169,me2_124_11m,adult,random,7.08599794532024e-26,5.410239498558865e-26,2.587128576398685e-26
170,me2_314_11m,adult,random,5.966721079401329e-26,3.356491434762498e-26,1.9315410778112147e-26
171,me2_303_11m,adult,duple,3.778147127413969e-26,1.6233123689097806e-25,3.1679768492102935e-25
172,me2_102_11m,adult,duple,6.966507357226401e-26,8.828610310105475e-26,9.181730488527903e-26
173,me2_309_11m,adult,duple,5.213748793589934e-26,1.938746780950585e-25,3.9454936359198094e-25
174,me2_313_11m,adult,duple,4.646702897762173e-26,6.151246897858007e-26,1.1354503611770451e-25
175,me2_108_11m,adult,duple,5.589730981351066e-26,5.375925457387972e-25,4.694779533408045e-25
